time,open,high,low,close,volume,ticker
2022-11-28,5840,6120,5840,6120,13000,TBR
2022-11-29,5570,5570,5570,5570,2100,TBR
2022-11-30,5660,5750,5660,5750,1900,TBR
2022-12-01,5840,5840,5840,5840,600,TBR
2022-12-02,5840,6310,5840,6310,1900,TBR
2022-12-06,5940,5940,5940,5940,400,TBR
2022-12-07,5940,5940,5940,5940,1000,TBR
2022-12-13,5940,5940,5940,5940,100,TBR
2022-12-14,5750,5940,5750,5940,1500,TBR
2022-12-15,5660,5940,5660,5940,400,TBR
2022-12-20,5190,5840,5190,5840,12200,TBR
2022-12-21,5570,5570,5570,5570,4000,TBR
2022-12-22,5660,5750,5290,5290,700,TBR
2022-12-26,5100,5100,5100,5100,100,TBR
2022-12-28,5840,5840,5840,5840,600,TBR
2022-12-29,6120,6120,6030,6030,1200,TBR
2022-12-30,6030,6030,6030,6030,1100,TBR
2023-01-03,5940,5940,5940,5940,1000,TBR
2023-01-04,5940,5940,5940,5940,100,TBR
2023-01-05,6030,6030,6030,6030,2200,TBR
2023-01-06,5840,6120,5840,6030,5800,TBR
2023-01-13,6030,6030,6030,6030,7200,TBR
2023-01-16,5570,5750,5570,5750,12100,TBR
2023-01-17,5570,5750,5570,5750,3100,TBR
2023-01-18,5750,5750,5750,5750,100,TBR
2023-01-19,6490,6490,5940,5940,200,TBR
2023-01-27,6030,6030,6030,6030,100,TBR
2023-02-01,5750,5750,5750,5750,600,TBR
2023-02-07,5750,5750,5750,5750,1000,TBR
2023-02-09,5750,5750,5750,5750,1500,TBR
2023-02-13,5750,5750,5750,5750,500,TBR
2023-02-16,5750,5750,5750,5750,200,TBR
2023-02-22,6120,6120,6120,6120,100,TBR
2023-03-08,6490,6490,6490,6490,200,TBR
2023-03-14,6590,6680,6590,6680,1000,TBR
2023-03-15,6490,6490,6490,6490,100,TBR
2023-03-16,6030,6030,6030,6030,2000,TBR
2023-03-21,5660,5660,5660,5660,100,TBR
2023-03-22,5840,5840,5840,5840,100,TBR
2023-03-23,6770,6770,6770,6770,100,TBR
2023-03-27,6960,6960,6960,6960,100,TBR
2023-03-28,6490,6490,6490,6490,100,TBR
2023-03-29,7050,7050,7050,7050,100,TBR
2023-03-30,7240,7240,7240,7240,100,TBR
2023-04-04,7510,7510,7510,7510,100,TBR
2023-04-12,8160,8160,8160,8160,100,TBR
2023-04-18,6220,6220,6220,6220,100,TBR
2023-04-21,5940,6680,5940,6680,200,TBR
2023-04-24,6310,6310,6310,6310,100,TBR
2023-04-28,6310,6310,6310,6310,200,TBR
2023-05-10,6310,6310,6310,6310,200,TBR
2023-05-11,6680,6680,6680,6680,100,TBR
2023-05-19,6310,6310,6310,6310,1900,TBR
2023-05-22,7240,7240,7240,7240,100,TBR
2023-05-23,8070,8070,8070,8070,100,TBR
2023-05-24,9280,9280,6860,6860,200,TBR
2023-06-02,6860,6860,6860,6860,6300,TBR
2023-06-07,7240,7240,7240,7240,100,TBR
2023-06-09,6680,6680,6680,6680,1000,TBR
2023-06-14,6680,6680,6680,6680,1100,TBR
2023-06-19,6680,6680,6680,6680,2900,TBR
2023-06-23,6680,6680,6680,6680,300,TBR
2023-06-26,7610,7610,7510,7510,400,TBR
2023-06-27,7510,8350,7510,8350,600,TBR
2023-06-28,8630,8630,8630,8630,100,TBR
2023-07-03,8720,8720,8720,8720,2400,TBR
2023-07-04,9930,9930,7700,9280,800,TBR
2023-07-05,9280,9280,9280,9280,600,TBR
2023-07-06,9280,9280,9280,9280,100,TBR
2023-07-11,7880,7880,7880,7880,2400,TBR
2023-07-12,6770,7610,6770,7610,900,TBR
2023-07-19,5940,7610,5940,7610,200,TBR
2023-07-25,6960,6960,6960,6960,100,TBR
2023-08-02,7330,7330,7330,7330,100,TBR
2023-08-07,6960,7050,6960,7050,20900,TBR
2023-08-08,7240,7790,7240,7610,3200,TBR
2023-08-09,7420,7700,7420,7700,6000,TBR
2023-08-10,7700,7700,7610,7700,3200,TBR
2023-08-14,7700,7700,7500,7500,2300,TBR
2023-08-15,7500,7500,7200,7300,3600,TBR
2023-08-16,7500,7500,7500,7500,100,TBR
2023-08-17,7500,7500,7500,7500,600,TBR
2023-08-18,7500,7500,7000,7000,300,TBR
2023-08-23,6800,6800,6800,6800,1200,TBR
2023-08-24,7800,7800,7800,7800,14100,TBR
2023-08-25,7800,7800,7800,7800,100,TBR
2023-08-29,7800,7800,7800,7800,100,TBR
2023-08-30,7000,7000,7000,7000,2600,TBR
2023-08-31,7100,7100,6900,7100,1900,TBR
2023-09-06,7100,7100,7100,7100,100,TBR
2023-09-07,7100,7100,7100,7100,600,TBR
2023-09-08,7200,7200,7200,7200,1000,TBR
2023-09-12,7400,7400,7400,7400,100,TBR
2023-09-13,7500,7500,7500,7500,100,TBR
2023-09-14,7500,7500,7000,7300,1900,TBR
2023-09-15,8100,8100,8100,8100,100,TBR
2023-09-18,6900,9300,6900,9300,500,TBR
2023-09-19,9400,9400,9400,9400,100,TBR
2023-09-20,8000,8000,8000,8000,2100,TBR
2023-09-21,6900,8000,6900,8000,200,TBR
2023-09-25,6400,6400,6400,6400,200,TBR
2023-09-26,7200,7200,7200,7200,200,TBR
2023-09-28,7000,7000,7000,7000,100,TBR
